Reference,Value,Qty,Part #,Digikey Part #,Unit Price
C1,10uF,1,FG20X7R1H106KRT06,445-173297-1-ND,1.29
C2,2.2uF,1,RDER71H225K2M1H03A,490-9164-1-ND,0.74
D2,1N5817,1,1N5817,497-4547-1-ND,0.42
J1,12V Power,1,2125280200,900-2125280200-ND,2.13
J2,Current Loop Input,1,2125280200,900-2125280200-ND,2.13
J3,Open Collector Output,1,2125280200,900-2125280200-ND,2.13
PS1,PDSE1-S12-S5-M,1,PDSE1-S12-S5-M,102-PDSE1-S12-S5-M-ND,3.45
R1,1k,1,CFF14JT1K00,738-CFF14JT1K00CT-ND,0.12
R2,10k,1,CF14JT10K0,CF14JT10K0CT-ND,0.1
U1,6N139,1,6N139-ND,6N139-ND,1.79
total:,,,,,14.3
